Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's Mutter ist eine Schmuckdesignerin und ihr Vater ist ein Anwalt.
Tsukiko Sagi , a shy character designer who created the immensely popular pink dog Maromi , finds herself under pressure to repeat her success . ||| Tsukiko Sagi, ein schüchterner Charakterdesigner, der den ungeheuer beliebten rosa Hund Maromi geschaffen hat, findet sich unter Druck, ihren Erfolg zu wiederholen.
Costume designer Julie Weiss was also nominated for her work , but lost out to James Acheson of " Restoration " . ||| Kostümdesignerin Julie Weiss wurde auch für ihre Arbeit nominiert, verlor aber an James Acheson von "Restaurierung".
This event cemented the growing partnership with Stella Jean , as the designer is expanding her work to more countries where the Initiative works : ||| Diese Veranstaltung zementierte die wachsende Partnerschaft mit Stella Jean, als die Designerin ihre Arbeit auf weitere Länder ausweitet, in denen die Initiative arbeitet:
The designer opened her first retail location in 1992 at 113 Greene Street in New York City 's Soho District . ||| Die Designerin eröffnete 1992 ihren ersten Einzelhandelsstandort in der 113 Greene Street in New York City's Soho District.
The designer of Dior Fine Jewelry Victoire de Castellane launched her own watch named " Le D de Dior " ( French : " The D of Dior " ) . ||| Der Designer von Dior Fine Jewelry Victoire de Castellane startete ihre eigene Uhr mit dem Namen "Le D de Dior " ( Französisch : " The D of Dior " ).
Today she is looking to sell off its Donna Karan business , less than a year after the fashion designer stepped down from her namesake brand . ||| Heute ist sie auf der Suche, aus seinem Donna Karan Geschäft zu verkaufen, weniger als ein Jahr, nachdem die Modedesignerin trat von ihrer Namensvettermarke.
Paris was the final destination during the winter show season and British designer Vivienne Westwood made her the lead model in her show . ||| Paris war das Endziel während der Winterschausaison und die britische Designerin Vivienne Westwood machte sie zum Leitmodell ihrer Show.
was a British costume designer , who was nominated for Academy Awards for her designs on " Agatha " ( 1979 ) and " Reds " ( 1981 ) . ||| war eine britische Kostümdesignerin, die für ihre Entwürfe auf " Agatha " ( 1979 ) und " Reds " ( 1981 ) nominiert wurde.
From that time the designer choosed her very individual way supperted by strong partners such as The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020 . ||| Aus dieser Zeit wählte die Designerin ihre ganz individuelle Art, von starken Partnern wie The Space Cinema in Piazza Duomo e la Rinascente Milano im Februar 2020 zu Abend zu essen.
Designer Patricia Zipprodt was nominated for a Tony Award and Drama Desk Award for her costume designs on the “ Alice in Wonderland ” revival . ||| Designerin Patricia Zipprodt wurde für ihre Kostüm-Designs für den Tony Award und den Drama Desk Award nominiert.
The designer also created a line of home accessories called Swell , based on a book series she co - wrote with friend Ilene Rosenzweig , which made its debut at Target in 2003 . ||| Die Designerin erstellte auch eine Reihe von Heimaccessoires namens Swell, basierend auf einer Buchserie, die sie mit - schrieb mit Freundin Ilene Rosenzweig, die ihr Debüt bei Target im Jahr 2003.
Her father , Raymond W. Lewis , Jr. , was an aerospace designer and her mother , Dorothy Borwick Lewis McIntyre a recreation director . ||| Ihr Vater, Raymond W. Lewis, Jr., war eine Luft-und Raumfahrt-Designer und ihre Mutter, Dorothy Borwick Lewis McIntyre eine Erholung Direktor.
Superstitious , she also insisted on dressing room 55 because that was her lucky number and required that Hubert de Givenchy , her long - time designer , be given a credit in the film for her perfume . ||| Abergläubisch, sie bestand auch auf Umkleideraum 55, weil das ihre Glückszahl war und verlangte, dass Hubert de Givenchy, ihre langjährige Designerin, in den Film für ihr Parfüm einen Kredit erhalten.
