Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara est un designer de bijoux et son père est un avocat.
Tsukiko Sagi , a shy character designer who created the immensely popular pink dog Maromi , finds herself under pressure to repeat her success . ||| Tsukiko Sagi, un designer de personnages shy qui a créé l'immensément populaire chien rose Maromi, se trouve sous pression pour répéter son succès.
Costume designer Julie Weiss was also nominated for her work , but lost out to James Acheson of " Restoration " . ||| Costume designer Julie Weiss a également été nominée pour son travail, mais perdu à James Acheson de "Restoration ".
This event cemented the growing partnership with Stella Jean , as the designer is expanding her work to more countries where the Initiative works : ||| Cet événement a cimenté la partenariat croissante avec Stella Jean, car le designer étend son travail à plus de pays où l’Initiative fonctionne :
The designer opened her first retail location in 1992 at 113 Greene Street in New York City 's Soho District . ||| Le designer a ouvert sa première location de détail en 1992 à 113 Greene Street dans le district de Soho de New York.
The designer of Dior Fine Jewelry Victoire de Castellane launched her own watch named " Le D de Dior " ( French : " The D of Dior " ) . ||| La conceptrice de Dior Fine Jewelry Victoire de Castellane a lancé sa propre montre nommée « Le D de Dior » (en français : « Le D de Dior » ).
Today she is looking to sell off its Donna Karan business , less than a year after the fashion designer stepped down from her namesake brand . ||| Aujourd’hui, elle cherche à vendre son entreprise Donna Karan, moins d’un an après que le designer de mode s’est retiré de sa marque de nom.
Paris was the final destination during the winter show season and British designer Vivienne Westwood made her the lead model in her show . ||| Paris était la destination finale pendant la saison d'émission d'hiver et le designer britannique Vivienne Westwood l'a fait le modèle principal dans son spectacle.
was a British costume designer , who was nominated for Academy Awards for her designs on " Agatha " ( 1979 ) and " Reds " ( 1981 ) . ||| était un designer de costume britannique, qui a été nominé aux Academy Awards pour ses dessins sur " Agatha " ( 1979 ) et " Red " ( 1981 ).
From that time the designer choosed her very individual way supperted by strong partners such as The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020 . ||| À partir de ce moment-là, le designer a choisi sa façon très individuelle soutenue par des partenaires forts comme The Space Cinema à Piazza Duomo e la Rinascente Milano en février 2020.
Designer Patricia Zipprodt was nominated for a Tony Award and Drama Desk Award for her costume designs on the “ Alice in Wonderland ” revival . ||| Designer Patricia Zipprodt a été nominée pour un Tony Award et Drama Desk Award pour ses designs de costumes sur la revival "Alice dans le pays des merveilles".
