Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's Mutter ist ein Schmuckdesigner und ihr Vater ist ein Anwalt.
Tsukiko Sagi , a shy character designer who created the immensely popular pink dog Maromi , finds herself under pressure to repeat her success . ||| Tsukiko Sagi, ein schlechter Charakterdesigner, der den unglaublich beliebten rosa Hund Maromi erschaffen hat, findet sich unter Druck, um ihren Erfolg zu wiederholen.
Costume designer Julie Weiss was also nominated for her work , but lost out to James Acheson of " Restoration " . ||| Costume Designer Julie Weiss wurde auch für ihre Arbeit nominiert, aber James Acheson von "Restoration" verloren.
This event cemented the growing partnership with Stella Jean , as the designer is expanding her work to more countries where the Initiative works : ||| Dieses Ereignis zementierte die wachsende Partnerschaft mit Stella Jean, da die Designerin ihre Arbeit auf mehrere Länder ausdehnt, in denen die Initiative arbeitet:
The designer opened her first retail location in 1992 at 113 Greene Street in New York City 's Soho District . ||| Die Designerin öffnete ihre erste Einzelhandelsstelle im Jahr 1992 an der 113 Greene Street im Soho District in New York City.
The designer of Dior Fine Jewelry Victoire de Castellane launched her own watch named " Le D de Dior " ( French : " The D of Dior " ) . ||| Die Designerin von Dior Fine Jewelry Victoire de Castellane hat ihre eigene Uhr mit dem Namen „Le D de Dior“ (französisch: „The D of Dior“) veröffentlicht.
Today she is looking to sell off its Donna Karan business , less than a year after the fashion designer stepped down from her namesake brand . ||| Heute versucht sie, ihr Donna Karan-Unternehmen zu verkaufen, weniger als ein Jahr nachdem die Mode-Designerin sich von ihrer Namenmarke abgegeben hat.
Paris was the final destination during the winter show season and British designer Vivienne Westwood made her the lead model in her show . ||| Paris war während der Winter-Show-Saison das letzte Ziel und die britische Designerin Vivienne Westwood hat sie in ihrer Show zum führenden Modell gemacht.
was a British costume designer , who was nominated for Academy Awards for her designs on " Agatha " ( 1979 ) and " Reds " ( 1981 ) . ||| war eine britische Kostümdesignerin, die für ihre Designs auf " Agatha " (1979 ) und " Reds " (1981 ) für die Academy Awards nominiert wurde.
From that time the designer choosed her very individual way supperted by strong partners such as The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020 . ||| Seitdem wählte die Designerin ihre sehr individuelle Art und Weise, die von starken Partnern wie The Space Cinema in Piazza Duomo e la Rinascente Milano im Februar 2020 unterstützt wurde.
Designer Patricia Zipprodt was nominated for a Tony Award and Drama Desk Award for her costume designs on the “ Alice in Wonderland ” revival . ||| Designerin Patricia Zipprodt wurde für einen Tony Award und Drama Desk Award für ihre Kostümdesigns auf der „Alice in Wonderland“ Revival nominiert.
The designer also created a line of home accessories called Swell , based on a book series she co - wrote with friend Ilene Rosenzweig , which made its debut at Target in 2003 . ||| Die Designerin hat auch eine Reihe von Hausgeräten namens Swell erstellt, basierend auf einer Buchserie, die sie mit ihrer Freundin Ilene Rosenzweig geschrieben hat, die ihr Debüt bei Target im Jahr 2003 gemacht hat.
Her father , Raymond W. Lewis , Jr. , was an aerospace designer and her mother , Dorothy Borwick Lewis McIntyre a recreation director . ||| Ihr Vater, Raymond W. Lewis, Jr., war ein Aerospace Designer und ihre Mutter, Dorothy Borwick Lewis McIntyre, ist ein Recreation Director.
Superstitious , she also insisted on dressing room 55 because that was her lucky number and required that Hubert de Givenchy , her long - time designer , be given a credit in the film for her perfume . ||| Superstitious, sie bestand auch auf der Kleidungsräume 55, weil es ihre glückliche Nummer war und verlangte, dass Hubert de Givenchy, ihre lange - Zeit Designer, in der Film für ihren Parfüm ein Kredit gegeben wird.
A self - taught clothing designer , Immonen opened her first design boutique in Helsinki during World War II in 1942 which grew into a success despite the shortages of the ensuing years . ||| Immonen öffnete während des Zweiten Weltkriegs 1942 in Helsinki ihre erste Design-Buchette, die trotz der Nachteile der kommenden Jahre zum Erfolg kam.
Her mother is a graphic designer and her father , who died when Carré was a teenager , was a designer and forensic animator . ||| Ihre Mutter ist ein Grafikdesigner und ihr Vater, der als Teenager gestorben war, war ein Designer und Forensik-Animator.
